gene	lfqctrl1	lfqctrl2	lfqctrl3	lfqctrl4	lfqctrl5	lfqeae1	lfqeae2	lfqeae3	lfqeae4	lfqeae5	lfqeae6	mean_log2lfqctrl	mean_log2lfqeae	log2fc	p	q	neglogq	enriched	mitocarta
Gm9774,Adrm1	23.8662737694967	23.5557864661048	22.1770185396334	22.0782292585538	22.2537990112158	23.090034864449	23.2300949250391	23.3527245299864	23.4374594990541	23.5285037117114	23.5378923447244	22.7862214090009	23.3627849791607	0.576563570159834	0.207303171083781	0.364055176429706	1.45777097213129	0	0
Pcdh7	21.9557597507565	21.8260642412417	23.2433226413942	22.7521508407385	23.3192068282768	23.0882564139363	24.3982609386835	24.0862651831519	23.1777638091465	23.1720355567228	23.5858895332692	22.6193008604815	23.5847452391517	0.965444378670156	0.0382116832990057	0.119961093687056	3.0593615144362	0	0
Igkv4-70,Igkv4-59	28.5158922355091	27.7590700644936	28.245675934637	29.7413527725416	29.0782645173548	29.1349410452947	28.5266022151748	29.0564911558426	29.7811769625664	28.175504170891	29.9356485521678	28.6680511049072	29.1017273503229	0.433676245415644	0.354966921802028	0.516477383092333	0.953222921043786	0	0
Gbp6,Gbp10	23.1156211743489	22.6799951222576	23.3975000043312	21.1526009303213	23.0674071579734	25.0385030949199	24.9744317455713	26.0236068259446	25.3306370982394	25.3800070440938	26.2227116349568	22.6826248778465	25.4949829072876	2.81235802944118	0.000717478657949008	0.00728717594609013	7.10042446022387	1	0
Scn3a	24.2516921673648	23.5647672556982	24.226703818325	24.1148168646057	23.8698543612082	23.7952097305262	24.1785846190915	23.6550179143201	24.1922717412974	24.466003749506	24.323267561698	24.0055668934404	24.1017258860732	0.0961589926328195	0.609674604836932	0.736260515952768	0.441711759893924	0	0
Eif4a3,Gm8994	24.4433528434583	24.9583686286679	24.1164835734066	24.6101475827772	24.3918524378002	24.58732109091	25.5621487752633	25.0185221342119	24.1147374494712	24.196405217792	24.4004125122988	24.504041013222	24.6465911966579	0.142550183435812	0.604808824945605	0.733377499022188	0.447372091923534	0	0
Rps18,Gm10260	27.4611552931004	27.6154755182507	28.1665296641637	27.7678714528339	28.5314442281703	28.0750538270996	27.8057507591276	27.8709127021587	29.3247873948445	29.4762625921602	29.5711806057597	27.9084952313038	28.6873246468584	0.778829415554586	0.0880113277046985	0.207857857689633	2.2663308074226	0	0
Rpl36a	25.4149329300375	23.0413804227487	26.1811656053832	25.3482732211071	26.2520351954892	25.1423860014134	26.3905738741727	26.183836614645	27.3035629625178	26.6680381518132	27.3550627038976	25.2475574749531	26.5072433847433	1.25968590979013	0.106067949019021	0.23527034825369	2.08760858955244	0	0
Mpeg1	23.0958559072445	22.5694533368799	21.1761869415254	22.0729412148152	23.6714988511371	26.6784187524222	26.448135340821	27.2291268504924	26.7620520857818	26.9699389010549	27.7616717452442	22.5171872503204	26.9748906126361	4.45770336231565	0.000118579317312084	0.00191323167740074	9.0297727013077	1	0
Slc9a6	25.1929489392845	25.26133800389	25.1692470011982	24.7122986058006	25.0811937657863	24.9822879170754	24.7974873838764	24.4858504319506	25.7376347954132	25.6449894541923	25.3723214863201	25.0834052631919	25.1700952448047	0.08668998161275	0.71088125280908	0.814626111298039	0.295790036946163	0	0
Fam171a2	25.3212386236981	23.9639339411185	24.4395534424802	23.6416310830257	24.8745521675113	23.5866913805474	24.0575502231789	24.0590367715236	23.871735319807	24.3211353810869	24.3475299991987	24.4481818515667	24.0406131792237	-0.407568672343	0.262244673631203	0.418892491530851	1.25534807014411	0	0
Itgb4	24.2305200857922	24.8500979211796	24.7161248987294	24.9242916886076	24.5225298106668	22.4362836398173	22.7560270374574	22.8327940736028	23.3578742004718	21.6959770537022	21.7457263044178	24.6487128809951	22.4707803849115	-2.17793249608357	0.000146857890781526	0.00221035003137563	8.82150943154193	1	0
Ptprf	24.5908081415425	24.7062502226974	24.1161662534799	23.2215652916904	24.5795162059067	24.5167113956553	24.4030812173697	24.5308268446726	24.7130856591784	24.3990437004014	24.7693100215735	24.2428612230634	24.5553431398085	0.312481916745103	0.324092440315241	0.485993847050022	1.0409900462551	0	0
Slc25a53	24.6369936083669	24.5091182463331	24.975350506375	25.6373529931815	25.9106107100717	24.784416388433	25.5621487752633	25.0945036387591	25.7420630869019	26.7830677717854	26.2068550374081	25.1338852128656	25.6955091164251	0.5616239035595	0.199506956680173	0.355575411664456	1.49177253083283	0	1
Map7d2	24.1954292825118	24.1669126974968	24.5712059270828	24.4169953964944	24.6333948277362	24.6367170975772	24.4401873712367	23.9611097987039	24.786412024593	24.486341583082	24.3084145833405	24.3967876262644	24.4365304097556	0.0397427834911532	0.79746228342671	0.874031163677348	0.194243374793944	0	0
Ckap5	28.3772042407236	28.1807768550782	28.0952685564084	28.0506653201631	28.0696355357842	27.9718034860785	28.0202508210413	28.2721308383506	27.9078749177442	27.6080898713807	28.0666621741898	28.1547101016315	27.9744686847975	-0.180241416833983	0.129780658856539	0.267312458880375	1.90340101470984	0	0
Ndufaf6	26.4797277259857	26.689658503526	27.125734437854	26.6708766401846	27.0776535079404	26.5451738873876	26.7310444801253	26.3998586258277	25.9113881474283	25.8858114175102	26.270402984987	26.8087301630981	26.290613257211	-0.518116905887112	0.0217818088157252	0.0816900542030246	3.61369574941383	0	1
Gm996	25.8958978839569	25.613242711117	25.9935607230584	25.8609571845607	25.7848906020364	26.2257114037662	26.1358853855908	25.8852528648176	25.9715842481721	25.0396747930103	24.6168920496518	25.8297098209459	25.6458334575015	-0.183876363444426	0.532143021212321	0.67749316357684	0.561721706241594	0	0
Map7d1	25.7825679640406	25.6199727577216	26.3391932448908	26.7095142400193	26.5522576068705	25.8751383191631	26.0810921553793	26.2883638403087	26.4257441372862	26.7212978206999	26.6292312027947	26.2007011627086	26.3368112459387	0.136110083230086	0.605106563105333	0.733377499022188	0.447372091923534	0	0
Rap1gap	24.1450713893081	24.2364446193691	24.0858601251598	24.0780608763014	23.944405376838	23.5532102242758	23.9191623025822	24.0765938115607	24.2547224341179	23.9428852914332	24.5531516198261	24.0979684773953	24.0499542806326	-0.0480141967626331	0.753151865071649	0.843425691587158	0.245667126672191	0	0
Ubr4	24.5696424065049	23.5647672556982	23.9017780195723	23.828324787799	23.4355532732218	23.6306759539482	23.4974094230847	24.3301241643142	24.0799332906341	23.1787365696989	22.4125574428029	23.8600131485592	23.5215728074138	-0.338440341145393	0.347992844198089	0.509355491062207	0.973255196581297	0	0
Fmnl2	27.4124799153719	27.0465601826578	27.5918497625987	27.5260424741951	27.6485594637291	27.5854168073463	27.1968554268893	27.3636928419657	27.5464256197087	27.4860039346417	27.1635577027002	27.4450983597105	27.3903253888753	-0.0547729708352023	0.685065721736835	0.795254431736015	0.330511588354254	0	0
Scn1a	27.7148942541377	27.4251838829014	26.9137635937837	26.6543078056209	26.9233171472942	27.3141493684338	27.2444515246085	27.3204469081362	27.2630229976062	27.2794113629623	27.0387333250171	27.1262933367476	27.243369247794	0.11707591104642	0.582778473045323	0.719045792477979	0.475844443169685	0	0
Ndufaf5	27.0835491204831	26.4368878957199	27.3900161967621	26.8434997816332	27.0867915885785	26.9497130982679	27.0479125305616	26.6536246790203	26.4151264115695	26.6864560714876	26.2600280859773	26.9681489166354	26.6688101461474	-0.299338770487982	0.174510616708745	0.3259085307037	1.61746097956188	0	1
Skt	26.8172649426636	25.7105655754937	26.4959924692557	25.6751912453918	25.6493820590422	26.3041028379023	26.27944678782	26.0971991753912	25.7027146563514	26.0763899345285	25.6258080409886	26.0696792583694	26.014276905497	-0.0554023528723953	0.845431181568138	0.905318138271433	0.143503235451198	0	0
