gene	lfqctrl1	lfqctrl2	lfqctrl3	lfqctrl4	lfqctrl5	lfqeae1	lfqeae2	lfqeae3	lfqeae4	validation	mean_log2lfqctrl	mean_log2lfqeae	log2fc	p	q	neglogq	enriched	mitocarta
Abcg2	26.39451218	26.12591171	26.22809982	26.16098404	25.91547394	26.74162674	26.85548973	26.81213188	26.9460907	1	26.164996338	26.8388347625	0.673838424500001	0.000258048349483978	0.0933029103634211	3.42193410653918	0	0
Pomgnt2	27.05305099	27.1882019	27.2674942	27.13672638	27.12533951	27.53017998	27.31068611	27.41191483	27.36794662	1	27.154162596	27.405181885	0.251019289000002	0.00518496300962532	0.309661040154277	1.69123821239758	0	0
Cryzl2	29.41698456	29.33473015	28.89433479	28.81185532	29.00356674	30.28432846	30.05264854	29.50795746	30.22659111	1	29.092294312	30.0178813925	0.925587080500001	0.00598395429074364	0.326780700216418	1.61360531496643	0	0
Adhfe1	27.29985619	26.97541618	26.4015522	26.20711517	26.63107109	27.93730545	27.71489334	27.41308594	27.89113617	1	26.703002166	27.739105225	1.036103059	0.00354693167933755	0.289589809045269	1.78791726145294	0	1
Slc1a4	29.77010345	29.81135178	29.67749405	29.44806671	29.51444435	30.26517105	29.94377327	30.0999279	30.0587883	1	29.644292068	30.09191513	0.447623062000002	0.00250463599558894	0.248632914209702	2.00791080081429	0	0
Cyp2d22	28.10191917	28.14136314	28.06170082	27.76746178	27.78397369	29.21021461	28.28312683	28.56656075	29.0823822	1	27.97128372	28.7855710975	0.814287377500001	0.026573293092529	0.567700747478449	0.816797453710116	0	0
Vps45	26.30813599	26.37379837	26.2292366	26.11000443	25.93764305	26.57677269	26.52453423	26.67208481	26.50125694	1	26.191763688	26.5686621675	0.376898479500003	0.00523239004059513	0.309661040154277	1.69123821239758	0	0
Slc22a4	25.95220375	26.10653496	25.76610374	25.46793175	25.65378952	27.21923447	26.46972656	26.39528847	26.36871338	1	25.789312744	26.61324072	0.823927976	0.0177079785951463	0.476796742811864	1.0685537146771	0	1
Lap3	31.08188629	31.136446	30.98185921	31.0212841	31.00711441	31.42459869	31.34249687	31.12734032	31.43348122	1	31.045718002	31.331979275	0.286261273000001	0.0207618577788461	0.501390171830162	0.995994377915456	0	1
Acp6	27.32568741	27.42898178	27.61950493	27.77821922	27.84050179	27.1314373	27.32598877	26.93122482	27.04484177	1	27.598579026	27.108373165	-0.490205861	0.0067464031985761	0.330275364204165	1.59825873430423	0	1
Acss1	28.98046494	28.85832405	28.42003059	28.27528763	28.53060722	29.29418182	29.10539627	29.18342972	29.41141891	1	28.612942886	29.24860668	0.635663793999999	0.00570173641210043	0.326780700216418	1.61360531496643	0	1
Prdx6	31.51465225	31.9126358	31.73600197	31.77203178	31.60721779	32.35440826	31.96806908	32.01038742	32.30986404	1	31.708507918	32.1606822	0.452174281999998	0.0110875339495878	0.389757617033426	1.35935087709844	0	1
Amt	27.4675827	27.7465992	27.39786911	26.75104523	26.45144081	29.17838097	28.44543457	27.87205887	29.04862785	1	27.16290741	28.636125565	1.473218155	0.00825079666579186	0.366364322124898	1.44864907944289	0	1
Lxn	28.75976944	29.10462189	29.01584625	28.94657898	28.56712341	29.93663216	29.29566956	29.25769424	29.73883438	1	28.878787994	29.557207585	0.678419591000001	0.0174357286650983	0.474514293025418	1.07547655102069	0	0
Ech1	29.74487686	29.53689003	29.39090729	29.14861679	29.47849274	30.06200981	30.15212822	29.6153698	30.14388275	1	29.459956742	29.993347645	0.533390903000001	0.0159883400100047	0.458367382116443	1.12542371076887	0	1
Pbxip1	26.06129456	26.18824005	25.86538887	25.55891228	25.74419594	26.63637161	26.24219131	26.36934471	26.45187378	1	25.88360634	26.4249453525	0.5413390125	0.00619734239841488	0.326780700216418	1.61360531496643	0	0
Acads	29.77243233	29.7077713	29.71363258	29.67919922	29.47367096	30.66623497	30.29980278	29.76521683	30.26478004	1	29.669341278	30.249008655	0.579667377	0.0472465792747181	0.643328521965849	0.636372442909613	0	1
Slc20a2	27.50627518	27.57675934	27.54067421	27.36565399	27.16538048	27.87299728	27.58434105	28.1725502	27.9066143	1	27.43094864	27.8841257075	0.4531770675	0.0228254997377337	0.531221446880954	0.912614701432582	0	0
Hspa2	25.26361465	25.12915802	25.02888489	25.40161705	25.49890137	26.3593502	25.80395317	26.02005005	26.09136009	1	25.264435196	26.0686783775	0.804243181499999	0.0014227392405345	0.17147395322823	2.5439386461996	0	0
Stt3a	26.07433891	26.29086113	26.66200447	26.31250572	26.08525276	26.89284515	26.47294426	26.66736221	26.66213989	1	26.284992598	26.6738228775	0.388830279500002	0.0251496428930306	0.558366194405792	0.840716496891879	0	0
Sod1	30.36697769	30.47130966	30.64211655	30.76631546	30.65518761	29.93837166	30.34397888	30.28035164	30.23962402	1	30.580381394	30.20058155	-0.379799843999997	0.0157147660364638	0.458367382116443	1.12542371076887	0	1
Acot2	28.40249252	28.35369682	27.79937172	27.81341743	27.99860001	28.84257126	28.78978348	28.35831642	28.93425751	1	28.0735157	28.7312321675	0.657716467499998	0.00882063922083692	0.371996243536205	1.42664004199237	0	1
Rcn2	30.12626457	30.47145462	30.22618866	30.1810379	30.14855766	30.92206192	30.39723778	30.48375702	30.77238655	1	30.230700682	30.6438608175	0.4131601355	0.0339849821203907	0.618820070120208	0.692408106579177	0	1
Gpt2	28.76382637	28.81999207	28.33751869	28.25387955	28.5241375	29.28132439	28.92592239	28.89375687	29.08367538	1	28.539870836	29.0461697575	0.506298921500001	0.00958255639070788	0.378960159763776	1.39988190963725	0	1
Hsbp1	26.41189003	26.34641457	26.47617722	26.33576393	26.1680603	26.62226486	26.43072128	26.90947723	26.82395935	1	26.34766121	26.69660568	0.348944470000003	0.0381879809378902	0.631366153531865	0.663451172596547	0	0
Suclg2	30.07233429	30.14455032	29.61125946	29.45495415	29.28233147	30.52425957	30.46509361	30.20343971	30.71918488	1	29.713085938	30.4779944425	0.764908504500003	0.00772939505681913	0.352399941787603	1.50471440894556	0	1
Slc27a1	27.95958519	28.23203468	28.10671806	27.80784035	27.63847923	28.53222466	28.10980988	28.42193794	28.62088585	1	27.948931502	28.4212145825	0.472283080499999	0.0187217907817715	0.493230328868938	1.01966658070313	0	0
Trpv2	25.66458321	26.37048531	25.9513588	26.07110023	25.74312973	26.23554039	26.45067024	26.45856857	26.30061531	1	25.960131456	26.3613486275	0.401217171500001	0.0297621982771005	0.582159256620299	0.780514221295309	0	0
Mlc1	29.12441635	29.1074791	28.71541786	28.72180367	28.73109245	29.47239494	28.98310471	29.44992638	29.62444496	1	28.880041886	29.3824677475	0.502425861500001	0.0268449291738901	0.567700747478449	0.816797453710116	0	0
Pon2	28.14297104	28.22395897	28.32605362	27.88168716	27.76493263	28.9286499	28.32592392	28.71035194	28.81480789	1	28.067920684	28.6949334125	0.627012728499999	0.00916327571755403	0.374068561953697	1.41862537310277	0	0
Abcd3	28.83196831	29.10169411	29.03520966	28.89629936	28.81775284	29.71123123	29.30500984	29.43918419	29.44381523	1	28.936584856	29.4748101225	0.5382252665	0.00255658551517604	0.248632914209702	2.00791080081429	0	1
Ephx1	30.3816967	30.31963921	29.92825317	29.88436127	30.05788612	31.1031208	30.46021843	30.57411766	30.65095711	1	30.114367294	30.6971035	0.582736206	0.0162682363666975	0.458367382116443	1.12542371076887	0	0
Ahcyl2	29.96746826	30.12823296	29.92387009	29.69425774	29.74153709	30.38540459	30.02518463	30.22687912	30.44055176	1	29.891073228	30.269505025	0.378431797000001	0.0194870121424171	0.497906005552103	1.0060546781418	0	0
Acaa2	32.06474304	32.04689026	32.06760025	31.97095108	31.85530472	32.4010849	32.35616684	32.03319931	32.3888855	1	32.00109787	32.2948341375	0.293736267500002	0.035279197261207	0.628533774403377	0.669937824616947	0	1
Slc16a1	29.71723366	29.76927567	29.41449738	29.3264389	29.47833824	30.72224236	29.7395668	30.05685234	30.34810257	1	29.54115677	30.2166910175	0.6755342475	0.0403714970584505	0.635007712009581	0.655153981726314	0	1
Ccny	25.44928551	26.06281853	25.78130531	25.61904907	25.47495651	26.13179016	26.49789619	26.10466576	26.65989685	1	25.677482986	26.34856224	0.671079253999999	0.00846418332849244	0.369359448351972	1.43690261208874	0	0
Bsg	29.8619957	30.13191605	29.89413834	29.56886292	29.64133263	30.89551163	30.11172676	30.32940292	30.59668159	1	29.819649128	30.483330725	0.663681597	0.0198292147732658	0.497906005552103	1.0060546781418	0	0
Rpl35a	27.5963707	27.79686928	27.57412529	27.94480705	27.25484848	28.77669716	28.38590813	27.85147476	28.03086472	1	27.63340416	28.2612361925	0.627832032499999	0.0456581769728958	0.635007712009581	0.655153981726314	0	1
Cdc37	26.34705734	26.20614624	26.22965813	26.40003777	26.39299965	26.35785866	25.98431015	25.78476524	26.19375801	1	26.315179826	26.080173015	-0.235006811000002	0.154585511844295	0.814371953339602	0.296240218486798	0	0
Acox1	28.25687408	28.28394318	28.29585648	27.64114189	28.11676598	29.50214577	28.74064445	28.70355225	28.90883446	1	28.118916322	28.9637942325	0.844877910499999	0.0107191146578726	0.389757617033426	1.35935087709844	0	1
Ncln	27.33176422	27.31876755	27.45885086	27.041399	27.33449554	27.98514175	27.51088524	27.68284416	27.52872658	1	27.297055434	27.6768994325	0.3798439985	0.0309298357912173	0.584204584981873	0.775454414048832	0	0
Cdc42ep4	25.59546852	25.80750847	26.07283783	25.51433563	25.59514046	25.9552002	26.25704575	26.22068405	26.23835945	1	25.717058182	26.1678223625	0.450764180500002	0.0088804861738644	0.371996243536205	1.42664004199237	0	0
Thsd7a	25.51499748	25.86038971	25.16223335	26.09474564	25.8528614	26.43820572	25.60854149	26.2815094	26.33935547	1	25.697045516	26.16690302	0.469857504	0.105006244935219	0.73825223869733	0.437814268651548	0	0
Tmem43	27.34519577	26.85029411	27.26588631	27.14316559	27.25349617	28.11110497	27.79649734	27.70279312	27.77297592	1	27.17160759	27.8458428375	0.6742352475	0.00115793161518372	0.159431960464633	2.64898722727862	0	0
Cdipt	26.1900959	26.21935463	26.13864136	25.75533104	25.87220573	26.56455612	26.58987999	26.47492599	26.54532051	1	26.035125732	26.5436706525	0.508544920499997	0.00428281590024234	0.308233133389739	1.69790614280826	0	0
Impact	25.46226311	25.28905106	25.03548622	25.33922768	25.94465065	24.96110916	25.03515053	25.64069366	25.75082779	1	25.414135744	25.346945285	-0.067190458999999	0.799223094521003	0.986810056124236	0.0191556773374463	0	0
Farp1	28.03228378	28.25500679	28.47175407	28.24272728	28.23482323	29.13468361	28.43453979	28.75203514	28.82740211	1	28.24731903	28.7871651625	0.539846132499999	0.0240585613782201	0.543680525431028	0.87916894298322	0	0
Plxnb2	26.6602993	26.89567757	26.76654434	26.4371891	26.38186455	28.20704079	27.2033577	27.4792347	27.78100586	1	26.628314972	27.6676597625	1.0393447905	0.0103346652271199	0.389757617033426	1.35935087709844	0	0
Efr3a	24.40675163	24.58190155	24.50148582	24.1021347	24.31485748	24.77725983	24.31513405	24.80232811	24.62558556	1	24.381426236	24.6300768875	0.2486506515	0.125799768271697	0.764534817696923	0.387345889998632	0	0
Prune2	25.46703148	25.73804665	25.75792694	25.74381065	25.74850082	25.84778214	26.03573799	25.96570778	26.12465096	1	25.691063308	25.9934697175	0.302406409499998	0.00779707496645822	0.352399941787603	1.50471440894556	0	0
Sqrdl	28.78444099	28.38181114	27.73863411	27.77470398	27.97618103	29.16259766	28.81857681	28.34049225	29.20719337	1	28.13115425	28.8822150225	0.751060772499997	0.033260374031488	0.614467201997782	0.702592087996416	0	1
Tmx4	27.57812691	27.70977783	27.40377235	27.46478081	27.34967422	27.9324131	27.54668236	28.0482502	27.74688721	1	27.501226424	27.8185582175	0.317331793499996	0.0552546984042332	0.678881755636476	0.558767780229326	0	0
Slc44a2	27.90474892	28.05922699	27.95071411	27.75043869	27.60240173	28.72710419	27.8099575	28.40914536	28.62207222	1	27.853506088	28.3920698175	0.538563729500002	0.0720119103299866	0.693011958346753	0.529047847721543	0	0
Acsf2	32.02394485	32.02348328	31.467062	31.43148994	31.27591896	32.35623169	32.11977005	32.22469711	32.61541748	1	31.644379806	32.3290290825	0.6846492765	0.00973385011961926	0.379021148503944	1.39964974519672	0	1
Dmd	28.71677589	28.90233612	28.7830677	28.72591972	28.15904045	29.62129593	28.84989548	29.21745682	29.57771301	1	28.657427976	29.31659031	0.659162333999998	0.0260970519906063	0.567700747478449	0.816797453710116	0	0
Mboat7	26.88663673	27.22683334	26.78419113	26.86230659	26.60406494	27.436903	27.10858917	27.28144646	27.24472427	1	26.872806546	27.267915725	0.395109179000002	0.0153957117425224	0.458367382116443	1.12542371076887	0	0
Bcap29	25.77676964	26.4368248	26.14969063	26.34320641	25.92254639	26.61568642	26.59189987	26.90897942	26.33822441	1	26.125807574	26.61369753	0.487889956	0.0243703379938273	0.545852437720149	0.87341710004641	0	0
Psmb6	26.49764633	26.66480064	26.53743362	26.44870186	26.44093895	26.78519058	26.4099102	27.00683403	26.5831089	1	26.51790428	26.6962609275	0.178356647499999	0.264419604652917	0.87488380432876	0.192836673428339	0	0
Pld2	25.6189785	25.93460846	25.19426537	25.80968094	25.29638672	26.52709389	26.20490646	25.90266418	26.0969677	1	25.570783998	26.1829080575	0.612124059500001	0.0159792488501971	0.458367382116443	1.12542371076887	0	0
Plxnb1	28.60020447	28.98672867	28.88396072	28.66192055	28.52430534	29.10105515	28.84177589	29.09872246	29.05457687	1	28.73142395	29.0240325925	0.292608642499999	0.0303693882879842	0.582159256620299	0.780514221295309	0	0
Sncg	29.65892792	29.3946228	29.60288811	29.794981	29.71746254	29.1239357	29.56701469	29.38669014	29.14469719	1	29.633776474	29.30558443	-0.328192044000001	0.0447098385487049	0.635007712009581	0.655153981726314	0	0
Ganab	30.65215492	30.71747017	30.66114616	30.55471802	30.58051109	31.20655823	30.78705978	30.87070656	30.88827133	1	30.633200072	30.938148975	0.304948902999996	0.039645659714374	0.634142838816233	0.657120255088248	0	0
Arvcf	24.41483688	25.12915802	25.10535622	24.85856438	25.35679245	27.24354362	25.41934395	25.9404335	26.65630722	1	24.97294159	26.3149070725	1.3419654825	0.0362019172408603	0.628533774403377	0.669937824616947	0	0
